DOI,Title,Matched Columns,Matched keywards,Matched Columns 2,Matched keywards 2
10.1109/ICAC54203.2021.9671186,E-Agrigo,Author Keywords,arduino,"Abstract, Author Keywords, IEEE Terms","machine learning, machine learning, machine learning"
10.1109/ICAC54203.2021.9671181,Sensor-Based Emotion Tracking System for Computer Games,Abstract,arduino,"Abstract, IEEE Terms","machine learning, machine learning"
10.1109/ICAC57685.2022.10025087,Rubber Buddy: A Mobile Application to Empower Rubber Planters of Sri Lanka,Abstract,tensorflow lite,"Abstract, Abstract, Abstract, Abstract, Author Keywords, IEEE Terms","neural network, convolutional neural network, cnn, machine learning, cnn, machine learning"
10.1109/ICAC57685.2022.10025041,Autonomous Hydroponic Environment with Live Remote Consulting System for Strawberry Farming,"Author Keywords, Author Keywords","arduino, raspberry pi","Abstract, IEEE Terms","machine learning, machine learning"
10.1109/ICAC57685.2022.10025280,Novel Image Based Method Using V-I Curves with Aggregate Energy Data for Non-Intrusive Load Monitoring Applications,"Abstract, IEEE Terms","energy consumption, energy consumption","Abstract, Abstract, Abstract, Author Keywords","neural network, convolutional neural network, cnn, cnn"
10.1109/ICAC57685.2022.10025331,ARGUS – An Adaptive Smart Home Security Solution,Abstract,raspberry pi,"Abstract, IEEE Terms","machine learning, machine learning"
10.1109/ICAC60630.2023.10417276,Smart Aquarium Caring System Using Image Processing and IoT,"Abstract, Abstract","arduino, esp32","Abstract, Abstract, Author Keywords","cnn, random forest, cnn"
10.1109/ICAC60630.2023.10417529,SMART UTIL: Utility Bill Management and Usage Analysis for Sustainable Lifestyle,"Abstract, Author Keywords","arduino, arduino","Abstract, Author Keywords","machine learning, machine learning"
10.1109/ICAC60630.2023.10417152,“DiagnoMe” Mobile Application for Identifying and Predicting the Chronic Diseases,Author Keywords,quantization,"Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords","neural network, deep learning, neural network, transformer, machine learning"
10.1109/ICARC61713.2024.10499741,Simple and Compound Leaf Taxonomy Embedded Machine Learning Approach for Ayurveda Plants Recognition,Document Title,embedded machine learning,"Document Title, Abstract, Abstract, Abstract, Abstract, Abstract, Author Keywords, Author Keywords, Author Keywords, IEEE Terms","machine learning, random forest, gradient boosting, precision, recall, svm, machine learning, random forest, support vector machine, data augmentation"
10.1109/ICARC61713.2024.10499792,Behavioral Changes Based Trust Computation in Mutli-Agent Predictive Maintenance Applications,"Document Title, Abstract, Author Keywords","predictive maintenance, predictive maintenance, predictive maintenance","Abstract, IEEE Terms","reinforcement learning, reinforcement learning"
