"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Copyright Page","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","1","1","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099303","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Welcome from General Chairs","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","2","3","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099234","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Welcome from TPC Chairs","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","4","4","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099155","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Committees","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","5","11","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099082","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Keynotes","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","12","13","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099086","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Panel: Sustainability in Computing","G. Singh; G. D. Abowd; A. A. Chien; A. Jones; B. Islam; R. Dahiya; J. Hester","NSF and George Mason University, USA; Northeastern University, USA; University of Chicago, USA; NSF, USA; Worcester Polytechnic Institute, USA; Northeastern University, USA; Georgia Institute of Technology, USA",2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","14","16","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099249","","Computer science;Sustainable development;Robot sensing systems;Computer architecture;Wearable computers;Ubiquitous computing;US Government","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Technical Program","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","17","22","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099231","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Author Index","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","23","29","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099198","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"About IEEE PerCom 2023","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","30","30","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099246","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"Sponsors","",,2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","31","31","","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099186","","","","","","","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
"HeadMon: Head Dynamics Enabled Riding Maneuver Prediction","Z. Han; L. Xu; X. Dong; Y. Nishiyama; K. Sezaki","The University of Tokyo, Tokyo, Japan; The University of Tokyo, Tokyo, Japan; The University of Tokyo, Tokyo, Japan; The University of Tokyo, Tokyo, Japan; The University of Tokyo, Tokyo, Japan",2023 IEEE International Conference on Pervasive Computing and Communications (PerCom),"18 Apr 2023","2023","","","22","31","Although micro-mobility brings convenience to modern cities, they also cause various social problems, such as traffic accidents, casualties, and substantial economic losses. Wearing protective equipment has become the primary recommendation for safe riding. However, passive protection cannot prevent the occurrence of accidents. Thus, timely predicting the rider's maneuver is essential for active protection and providing more time to avoid potential accidents from happening. Through the qualitative study, we argue that we can use the rider's head dynamic as an information source to predict the rider's following maneuvers. We accordingly present HeadMon, a riding maneuver prediction system for safe riding. HeadMon utilizes the head dynamics of a rider by installing an inertial measurement unit on the helmet. It uses the extracted head dynamics features as the input of the deep learning architecture to achieve prediction. We implemented the HeadMon prototype on Android smartphone as a proof of concept. Through comprehensive experiments with 20 participants, the result demonstrates the excellent performance of HeadMon: not only could it achieve an overall precision of at least 85% for maneuver prediction under a 4s prediction time gap, but it also could keep a high accuracy under a low sampling rate. The low-cost feature of HeadMon allows it to be readily deployable and towards more safety riding.","2474-249X","978-1-6654-5378-3","10.1109/PERCOM56429.2023.10099215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099215","Human Activity Prediction;Head Movement;Mobile Computing","Pervasive computing;Measurement units;Head;Urban areas;Deep architecture;Prototypes;Inertial navigation","","2","","28","IEEE","18 Apr 2023","","","IEEE","IEEE Conferences"
